ID,aSagH_0,aSagH_2,aSagH_4,aSagH_6,aSagH_8,aSagH_10,aSagH_12,aSagH_14,aSagH_16,aSagH_18,aSagH_20,aSagH_22,aSagH_24,aSagH_26,aSagH_28,aSagH_30,aSagH_32,aSagH_34,aSagH_36,aSagH_38,aSagH_40,aSagH_42,aSagH_44,aSagH_46,aSagH_48,aSagH_50,aSagH_52,aSagH_54,aSagH_56,aSagH_58,aSagH_60,aSagH_62,aSagH_64,aSagH_66,aSagH_68,aSagH_70,aSagH_72,aSagH_74,aSagH_76,aSagH_78,aSagH_80,aSagH_82,aSagH_84,aSagH_86,aSagH_88,aSagH_90,aSagH_92,aSagH_94,aSagH_96,aSagH_98,aSagH_100
CP43,37.2352561951,35.729488372,34.0186424037,32.1144650663,30.1361053805,28.1905038431,26.3098154081,24.447386147,22.5438995035,20.6159150947,18.7426250105,16.9846684945,15.3279662384,13.6854097931,11.9482879464,10.0455899013,7.966935416,5.7435062446,3.4199959408,1.0536925927,-1.2578876437,-3.3564994089,-5.0460158387,-6.1524895487,-6.5752125709,-6.2918545248,-5.317858073,-3.6519240927,-1.2537364188,1.9107173447,5.7893749968,10.2029914512,14.8552212676,19.4015799436,23.5714394009,27.2527563875,30.4874427462,33.3967982794,36.0779197508,38.5396784019,40.7067505165,42.45405681,43.6447485345,44.1738314937,44.0134133276,43.2444827836,42.0514884161,40.6619644041,39.2534967424,37.8859242158,36.5048815409
CP50,28.1214968363,26.97300152,25.7711269588,24.4537929176,23.0024431928,21.4231864737,19.733874891,18.0003632369,16.2955232394,14.609517942,12.8409664522,10.9387568399,9.0036975925,7.2103606162,5.6489491575,4.2556667443,2.856524683,1.2945182044,-0.4544726489,-2.2663508325,-3.9587995814,-5.3927822729,-6.5095491465,-7.2911410603,-7.7092191648,-7.7042789937,-7.197642581,-6.1492685682,-4.5880649772,-2.5760195827,-0.1626293381,2.6200367052,5.7144243722,9.0023478991,12.3376322746,15.6009707375,18.7329662548,21.752948206,24.7073684309,27.578601594,30.2373460914,32.4782784412,34.1112249636,35.0332056697,35.2399218036,34.8037168022,33.8640607553,32.6042056635,31.201801617,29.7875700093,28.4324824015
CP67,57.2971639633,54.2586706896,51.159689239,48.0009031956,44.8871932446,42.075380343,39.6741290095,37.5509886543,35.6410978978,33.9290467464,32.3882286019,30.9485379987,29.4806602713,27.8870099436,26.1885485982,24.4845693533,22.8381338568,21.2377423654,19.6449355407,18.0461048513,16.4660635213,14.9586577133,13.5990316603,12.4782066379,11.6843802902,11.2748626243,11.269753925,11.6766287406,12.5142206586,13.8045529481,15.5334908769,17.6212998004,19.9589515398,22.4633575783,25.1108225228,27.9522515411,31.0644847984,34.4855501666,38.203914623,42.1802365776,46.3566647153,50.6231214248,54.7800810942,58.5544904275,61.6547677444,63.8180074612,64.8429742845,64.6348119512,63.2636213157,61.0010886895,58.2390108109
CP78,32.9374008179,31.1533788273,29.2601444607,27.3838114377,25.6160556085,23.9954967253,22.5182801153,21.1648950223,19.9150445627,18.7543583647,17.6783632464,16.6874258868,15.7764371647,14.9305188159,14.1275424636,13.3422315133,12.548431119,11.7208331929,10.8396978998,9.9001654977,8.922865194,7.9612030234,7.0994442292,6.4405504286,6.0879630276,6.1274774075,6.6128767494,7.5575470824,8.9332094416,10.677682875,12.7088970149,14.9404877653,17.2933794302,19.7021092775,22.1226466863,24.5388026859,26.9535923485,29.368409242,31.7681050236,34.1169058886,36.3576546641,38.4129011701,40.1887788624,41.5768786947,42.4595686496,42.7278149635,42.3065307813,41.1797635767,39.402176319,37.0908235224,34.4074058533
CP79,42.869275411,41.4103959443,39.9564277092,38.1076298055,35.8015833836,33.2163007541,30.2576135837,27.0011341359,23.7661078788,20.7628663853,18.0420565084,15.6025362807,13.4320288527,11.4410219901,9.4931439931,7.5084196566,5.5170636505,3.5678590088,1.6255234113,-0.3969932507,-2.5209359746,-4.6527269507,-6.6308971325,-8.2890200843,-9.4725233735,-10.0293374694,-9.8242781352,-8.7528967154,-6.7665964294,-3.8700677609,-0.0881502789,4.4726248302,9.5704179867,14.8998142348,20.1744042504,25.2085700293,29.9443681751,34.4046862287,38.5506966703,42.1197585037,44.6996153672,46.0958972598,46.5775155281,46.6589368838,46.6470480763,46.3684551346,45.351019158,43.4663344518,41.1382355829,38.8753054842,36.8873291016
CP81,48.7691850662,47.2800436329,45.6389731123,43.7707129347,41.7970137215,39.7265698286,37.3792973007,34.5412439692,31.1482777511,27.3850648132,23.6113947421,20.1758661264,17.2554343303,14.810127503,12.6516705536,10.5734255927,8.4447943682,6.2343832419,3.9821145522,1.7601776455,-0.3566050524,-2.3038176305,-4.0199444034,-5.4231520631,-6.3873540436,-6.7583468455,-6.4075435602,-5.2646316149,-3.3125263056,-0.5721853157,2.8919108417,6.9530986528,11.4231650414,16.0741798133,20.6731978348,25.0234617244,29.0033825125,32.589989135,35.8521012687,38.9121098539,41.8857228064,44.818342961,47.6437285075,50.1888585251,52.2194874218,53.4917977355,53.8219893894,53.1952199625,51.8219902826,50.0450867478,48.1414718628
CP86,41.6962636312,40.128067443,38.1007089346,35.7456060655,33.2825932765,30.8968200856,28.6788923022,26.6257246836,24.6392759152,22.5657058779,20.2972314716,17.8438784491,15.31320664,12.8336808802,10.4874658394,8.2977977648,6.2565664019,4.3525599488,2.5803134467,0.936593906,-0.5804112614,-1.9614127843,-3.1715508708,-4.1465892358,-4.8062176489,-5.0732778632,-4.8837889315,-4.1821382353,-2.9080863906,-0.9930873104,1.6195309254,4.9377149384,8.8891464019,13.3081481336,17.9436682349,22.499814185,26.7074028003,30.3904930646,33.4907801535,36.0488752772,38.1596518407,39.9198552063,41.3864185888,42.5621719523,43.4143879752,43.9136376608,44.0627265011,43.8909810276,43.4261731557,42.6672128341,41.5675125122
CP91,28.189795812,26.1453470351,23.918845828,21.6346121477,19.4051590289,17.1775047301,14.8279769571,12.315970843,9.7365071446,7.2731587474,5.0919822719,3.2487549242,1.68029654,0.2677814378,-1.0914835244,-2.4490228345,-3.8085327346,-5.1481032487,-6.4385526327000004,-7.6449407999,-8.7189397205,-9.5998781422,-10.2302198486,-10.57256118,-10.6106540797,-10.3306671913,-9.6986084759,-8.660214584,-7.1715492695,-5.2326631623,-2.8918239227,-0.2280279702,2.6683621401,5.7129037426,8.8445382977,12.0342347402,15.2721206122,18.536331019,21.7649100318,24.8524348565,27.6755659364,30.1253351106,32.1227165834,33.6160448314,34.5681845509,34.9529956232,34.7761085097,34.1043478154,33.0635530992,31.7840196904,30.3241500854
CP99,44.526227951,42.5994026638,40.3187192803,37.7637916127,35.0843717734,32.4305298752,29.8687955406,27.3772234932,24.8873418331,22.3347083315,19.705562243,17.0488614442,14.4480635823,11.9810672156,9.6914340478,7.5791703758,5.6094315549,3.7320561741,1.9021468406,0.0955690273,-1.6818981669,-3.3910651148,-4.9602679701,-6.2912196278,-7.2697093795,-7.7797917643,-7.7171971402,-6.9987784298,-5.5671200373,-3.3941377791,-0.487334503,3.0989872741,7.2522996724,11.8003421428,16.5284658363,21.2157166146,25.6761871139,29.7866604973,33.4875247483,36.7606380902,39.6004102424,41.9932386355,43.9110241519,45.3178292774,46.1871448963,46.5250070675,46.3875335739,45.8764353831,45.105402734,44.1571096459,43.0579071045
CP1,49.0116055806,47.7443247179,46.2868000843,44.7623317492,43.1283605632,41.1974401485,38.9394784355,36.6352821524,34.6599299664,33.1742426697,32.0275061873,30.9224935489,29.6919395994,28.3712935875,27.053086891,25.7741930194,24.5206411925,23.2866885952,22.0731935766,20.8473719286,19.5434943272,18.1054293009,16.5301092454,14.881351692,13.2733784257,11.8370037516,10.688442444,9.9202999931,9.5977583128,9.7401000373,10.3079473369,11.2358346129,12.5013011497,14.1531900328,16.2578444247,18.8230335343,21.7738218867,24.9977055481,28.4217194668,32.0237452714,35.7436331998,39.4153847153,42.8082569346,45.7178447948,48.0070689652,49.6098327376,50.5422245641,50.8897513421,50.744174413,50.1546716535,49.1558113098
